name,frames,secs,avg_ms,fps,p50,p95,p99,max
ic_static_min,1063,20.0,18.820,53.1,18.816,19.542,19.849,21.374
ic_static_all,1061,20.0,18.859,53.0,18.847,19.522,19.948,20.982
ic_orbit_min,1081,20.0,18.515,54.0,18.008,21.091,21.638,22.617
ic_orbit_all,1079,20.0,18.540,53.9,18.043,21.075,21.580,22.155
ic_fly_ground,3968,20.0,5.041,198.4,4.131,12.804,14.899,16.407
st_static_min,3732,20.0,5.360,186.6,5.278,5.969,6.851,16.589
st_static_all,3558,20.0,5.622,177.9,5.560,6.226,6.931,8.186
st_orbit_min,2347,20.0,8.524,117.3,8.606,9.368,9.682,12.610
st_orbit_all,2311,20.0,8.656,115.5,8.753,9.563,9.965,10.621
st_fly_street,3435,20.0,5.823,171.7,5.329,7.597,8.183,9.654
ic_orbit_noshadow,2319,20.0,8.626,115.9,8.461,9.882,10.214,11.802
ic_orbit_lightsoff,1120,20.0,17.863,56.0,17.366,20.275,20.862,21.924
ic_orbit_lightsrt,1085,20.0,18.434,54.2,17.915,20.942,21.411,22.544
ic_orbit_noparallax,1086,20.0,18.426,54.3,17.906,20.945,21.386,22.764
ic_orbit_cull4,1305,20.0,15.337,65.2,14.939,17.557,17.985,19.171
ic_orbit_nograss,1085,20.0,18.437,54.2,17.927,20.909,21.523,23.027
ic_orbit_fog0,1085,20.0,18.446,54.2,17.956,20.934,21.456,22.297
st_orbit_noshadow,2277,20.0,8.786,113.8,8.812,9.440,9.794,10.880
st_orbit_lightsoff,3058,20.0,6.540,152.9,6.528,7.142,7.973,9.202
st_orbit_lightsrt,2367,20.0,8.452,118.3,8.497,9.366,9.707,11.374
st_orbit_noparallax,2346,20.0,8.525,117.3,8.582,9.431,10.154,14.341
st_orbit_cull4,3056,20.0,6.546,152.8,6.523,7.191,7.980,9.378
st_orbit_nograss,2276,20.0,8.791,113.8,8.789,9.441,9.853,12.749
